,principal component 1,principal component 2,artists
136,-0.244383082,0.326774099,Elvis Presley
137,1.426795698,-1.447662844,Bob Dylan
138,0.801535689,-0.869271774,Bob Dylan
139,-2.558314033,0.435368902,The Rolling Stones
140,-2.160883715,3.562881844,The Rolling Stones
141,1.04553489,-0.821148426,Led Zeppelin
142,0.391098606,0.824263784,The Beach Boys
143,1.01257416,2.308041382,Elvis Presley
144,0.482206549,-1.672102039,Bob Dylan
145,0.308275411,0.470378968,The Beach Boys
146,-2.846854733,-1.018379411,The Rolling Stones
147,-2.846854733,-1.018379411,The Rolling Stones
148,2.979723625,0.060992742,The Beach Boys
149,-1.678970538,-0.054145611,The Rolling Stones
150,-0.614087023,-1.096123451,Elvis Presley
151,-1.47941194,1.408002486,The Rolling Stones
152,-1.758057571,1.365877444,The Rolling Stones
153,-0.365325452,-0.460709216,Johnny Cash
154,-2.478348417,-0.279735793,The Rolling Stones
155,0.117833038,-0.748551254,The Rolling Stones
156,-2.265980515,0.449751294,The Rolling Stones
157,-0.790765755,-1.766027441,Johnny Cash
158,2.196629378,0.25619809,Frank Sinatra
159,1.068469045,0.16864904,Bob Dylan
160,1.760409967,0.416174459,Led Zeppelin
161,0.584922354,0.791189035,Led Zeppelin
162,-0.143015894,1.972325126,The Rolling Stones
163,-2.013621432,-0.599087379,The Rolling Stones
164,-0.60753322,-0.990358236,Frank Sinatra
165,0.824157543,0.046448053,The Beach Boys
166,-0.463202151,-0.301931334,Bob Dylan
167,-0.431854122,-0.928689496,The Beach Boys
168,-1.262701219,-0.369955463,The Rolling Stones
169,1.250340416,-0.673599795,Bob Dylan
170,0.111839353,0.460855177,The Beach Boys
171,-0.607653849,0.226307473,Bob Dylan
172,-0.032736769,-0.485606715,Led Zeppelin
173,-0.775077766,0.28158604,Bob Dylan
174,-0.37782282,-0.821488687,Bob Dylan
175,-1.692734647,0.950348645,The Rolling Stones
176,-0.164059408,1.567015989,Led Zeppelin
177,-1.465769268,1.40569452,Led Zeppelin
178,-1.920444609,1.682870807,Led Zeppelin
179,-2.300742267,0.137886593,Led Zeppelin
180,-1.146605838,-0.800191331,The Rolling Stones
181,-3.040037728,-0.044779043,The Rolling Stones
