,principal component 1,principal component 2,popularity,year
137,-0.55666835,0.712223514,50,1999
138,2.218643639,-0.15708807,52,2002
139,-0.263703255,-0.404291611,52,2004
140,-1.561347745,1.023168145,53,2005
141,-0.016905136,-0.921512137,52,2005
142,0.535618772,-1.143853861,57,2010
143,-0.369260621,-0.9403633,56,2010
144,-0.155075268,-2.060910498,56,2010
145,0.604140155,1.155661881,70,2018
146,-0.395974465,0.113997194,49,1999
147,0.510036796,-1.053387712,48,1999
148,3.370636047,-1.425058314,46,2000
149,-0.223066079,-0.402207958,44,2002
150,0.218518581,-0.266784224,51,2004
151,0.734713428,-0.839584624,51,2004
152,0.661142975,-0.375844646,54,2009
153,-0.162897878,-0.82794836,54,2009
154,-0.525485001,0.123281204,56,2010
155,0.513568232,-0.31139029,69,2018
156,-1.137360356,0.231974378,69,2018
157,0.213646989,0.000933298,73,2020
158,0.422618706,0.386714707,48,1999
159,4.440663735,1.619347464,45,1999
160,3.005083768,2.24668254,51,2002
161,3.65129955,0.567866471,50,2002
162,-1.00197327,-0.75272872,51,2005
163,-1.111496381,0.552564717,53,2005
164,-1.111496381,0.552564717,50,2005
165,0.265220564,-1.060312103,47,2006
166,0.028429432,-0.538815018,53,2009
167,-0.722499575,-0.864612339,54,2009
168,0.562566854,-0.033792258,53,2009
169,-0.238732317,0.121752468,51,2009
170,-1.019889123,-1.312879234,55,2010
171,-1.117179649,0.506480736,47,1999
172,4.428924777,1.68713961,47,1999
173,1.108636193,0.558105126,47,2004
174,-0.999291193,1.093337799,49,2004
175,-1.391768384,-0.354102644,48,2004
176,-0.032382524,-0.543519008,53,2009
177,-0.713163362,-0.004747976,53,2009
178,-0.013968419,-0.323958166,54,2009
179,-0.657353913,-0.478222426,52,2009
180,-0.486622348,1.523956735,70,2020
