principal component 1,principal component 2,year,popularity
1.919016641,2.816058862,1967,34
2.286709644,0.135946636,1967,33
-0.983229675,0.25214342,1973,42
-0.153931382,0.779152096,1973,41
-0.702277567,-0.97512831,1973,41
-1.063855771,3.27810862,1973,42
0.697633637,-0.401443037,1973,40
0.12069145,0.068362171,1973,41
-0.701978442,0.627389374,1973,41
1.617234803,-0.813486572,1973,41
-2.283949468,0.453234897,1973,41
2.503460784,-1.323373754,1973,41
1.070247804,-0.314630991,1973,40
1.213153553,-2.174292534,1973,42
1.305247638,1.305432592,1973,40
-1.217752098,0.079066827,1973,42
-1.594516637,1.013606783,1988,41
0.562765204,0.23435705,1988,43
-1.821248432,-0.06256955,1988,42
-1.712423758,1.846563247,1988,39
-2.566476432,0.682175956,1995,48
0.04731299,1.837887382,1967,31
1.834604289,2.764656632,1967,32
-0.942552062,2.078473778,1967,32
1.444032867,0.127733438,1967,31
4.191525086,1.060544166,1967,31
-0.585263517,-0.57693345,1967,31
1.06246379,-0.482828444,1967,31
0.281091659,-0.099686107,1969,36
-1.083845315,-0.631045714,1973,40
1.153742536,-1.190163366,1973,40
-1.37886196,-0.59042654,1973,40
-1.370757804,0.390456759,1973,40
-1.721205926,-0.845509594,1973,40
0.542918727,0.598265347,1973,40
0.273005449,-0.040328445,1973,40
-2.065184103,0.696727615,1973,40
-0.283280981,-1.376005472,1973,39
-1.563909962,-1.330650064,1973,40
-1.565275021,1.289123523,1973,40
1.589939137,-1.187972938,1973,40
-1.113462888,-0.995739466,1973,40
1.3504064,0.389727038,1988,41
-0.066783296,0.194313009,1995,50
-1.106693728,1.499281173,1996,49
2.585383398,0.732475709,1967,30
-1.48152673,0.82581969,1967,30
0.960045321,-0.448398529,1967,30
-1.571335656,-1.08616715,1967,29
-0.564727641,-0.77473274,1967,29
-1.404770878,-1.020990684,1973,39
0.260501917,1.99252686,1973,39
2.258837688,-0.234510495,1973,39
-0.953452053,-0.340369417,1973,38
0.798211125,-2.349157758,1973,39
0.144193853,-0.287359422,1973,38
-1.047450249,1.59166191,1988,38
-1.666442504,-0.579050875,1988,40
-1.059799556,-0.843495716,1988,39
-0.514272013,-0.336058398,1988,38
-1.842786361,-0.680372599,1988,39
1.683270145,0.002967639,1967,31
0.929201007,0.800333076,1967,29
1.895585195,0.11948137,1967,29
2.216114816,0.815860575,1967,29
3.047786665,-0.8251551,1967,29
4.918218175,1.029595151,1967,29
-2.287575719,-0.865138045,1988,37
-1.360984842,-0.076336502,1988,37
-0.818416413,-1.154474934,1988,38
-1.466697029,-0.159974972,1988,38
